[00:00:00] [Server thread/INFO]: [Chunky] Task running for minecraft:the_nether. Processed: 2 chunks (0.00%), ETA: 5:47:01, Rate: 6.8 cps, Current: 1, 3
[00:00:01] [c2me-worker-2/INFO]: [Chunky] Task running for minecraft:the_nether. Processed: 11 chunks (0.01%), ETA: 4:42:04, Rate: 8.4 cps, Current: 3, 5
[00:00:03] [Server thread/INFO]: [Chunky] Task running for minecraft:the_nether. Processed: 31 chunks (0.02%), ETA: 3:11:08, Rate: 12.4 cps, Current: 7, 2
[00:00:03] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 2657ms or 53 ticks behind
[00:00:05] [Server thread/INFO]: [Chunky] Task running for minecraft:the_nether. Processed: 43 chunks (0.03%), ETA: 4:43:10, Rate: 8.4 cps, Current: 3, 1
[00:00:06] [Server thread/INFO]: [Chunky] Task running for minecraft:the_nether. Processed: 62 chunks (0.04%), ETA: 3:58:59, Rate: 9.9 cps, Current: 13, 2
[00:00:08] [c2me-worker-2/INFO]: [Chunky] Task running for minecraft:the_nether. Processed: 89 chunks (0.06%), ETA: 3:14:59, Rate: 12.1 cps, Current: 8, 6
[00:00:09] [c2me-worker-0/INFO]: [Chunky] Task running for minecraft:the_nether. Processed: 112 chunks (0.08%), ETA: 3:01:19, Rate: 13.1 cps, Current: 12, 9
[00:00:10] [Server thread/INFO]: [Chunky] Task running for minecraft:the_nether. Processed: 128 chunks (0.09%), ETA: 2:57:51, Rate: 13.3 cps, Current: 3, 0
[00:00:11] [c2me-worker-2/INFO]: [Chunky] Task running for minecraft:the_nether. Processed: 148 chunks (0.10%), ETA: 2:49:54, Rate: 13.9 cps, Current: 8, 8
[00:00:12] [Server thread/INFO]: [Chunky] Task running for minecraft:the_nether. Processed: 182 chunks (0.13%), ETA: 2:31:25, Rate: 15.6 cps, Current: 3, 8
[00:00:13] [Server thread/INFO]: [Chunky] Task running for minecraft:the_nether. Processed: 203 chunks (0.14%), ETA: 2:28:22, Rate: 15.9 cps, Current: 1, 12
[00:00:14] [Server thread/INFO]: [Chunky] Task running for minecraft:the_nether. Processed: 214 chunks (0.15%), ETA: 2:32:08, Rate: 15.5 cps, Current: 11, 0
[00:00:15] [c2me-worker-1/INFO]: [Chunky] Task running for minecraft:the_nether. Processed: 243 chunks (0.17%), ETA: 2:25:46, Rate: 16.2 cps, Current: 15, 2
[00:00:16] [Server thread/INFO]: [Chunky] Task running for minecraft:the_nether. Processed: 265 chunks (0.19%), ETA: 2:22:35, Rate: 16.6 cps, Current: 3, 21
[00:00:17] [Server thread/INFO]: [Chunky] Task running for minecraft:the_nether. Processed: 284 chunks (0.20%), ETA: 2:21:40, Rate: 16.7 cps, Current: 15, 13
[00:00:18] [c2me-worker-2/INFO]: [Chunky] Task running for minecraft:the_nether. Processed: 299 chunks (0.21%), ETA: 2:22:51, Rate: 16.5 cps, Current: 0, 10
[00:00:19] [Server thread/INFO]: [Chunky] Task running for minecraft:the_nether. Processed: 311 chunks (0.22%), ETA: 2:25:10, Rate: 16.3 cps, Current: 2, 26
[00:00:20] [Server thread/INFO]: [Chunky] Task running for minecraft:the_nether. Processed: 322 chunks (0.23%), ETA: 2:28:16, Rate: 15.9 cps, Current: 2, 29
